snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1465975274,4400,18,47.14600,8.29422,7742,0,0
1465975280,4700,6,47.15420,8.29565,7742,0,0
1465975307,4834,351,47.16050,8.29373,7742,80,9316
1465975319,5028,333,47.16600,8.28975,7742,76,9316
1465975334,4900,347,47.17130,8.28804,7742,71,9316
1465975341,4800,353,47.17390,8.28777,7742,74,9316
1465975350,4800,350,47.17690,8.28693,7742,72,9316
1465975357,4800,351,47.17920,8.28639,7742,71,9316
1465975363,4800,351,47.18080,8.28568,7742,71,9316
1465975370,4800,342,47.18190,8.28491,7742,66,9316
1465975379,4800,333,47.18340,8.28360,7742,59,9316
1465975403,4800,252,47.18340,8.27717,7742,50,9316
1465975409,4800,272,47.18280,8.27386,7742,46,9316
1465975431,4774,239,47.18100,8.26982,7742,53,9316
1465975437,4800,239,47.17960,8.26538,7742,53,9316
1465975450,4800,232,47.17880,8.26386,7742,59,9316
1465975456,4800,232,47.17690,8.25902,7742,59,9316
1465975462,4700,229,47.17600,8.25748,7742,63,9316
1465975475,4767,230,47.17460,8.25487,7742,65,9316
1465975481,4800,240,47.17290,8.25081,7742,59,9316
1465975490,4800,235,47.17240,8.24970,7742,59,9316
1465975499,4800,241,47.17150,8.24708,7742,55,9316
1465975505,4700,241,47.17060,8.24477,7742,53,9316
1465975521,4700,239,47.16970,8.24252,7742,51,9316
1465975527,4500,239,47.16780,8.23800,7742,51,9316
1465975533,4500,239,47.16700,8.23686,7742,51,9316
1465975565,4400,239,47.16590,8.23479,7742,51,9316
1465975575,4200,239,47.16200,8.22553,7742,51,9316
1465975587,4300,227,47.15950,8.22136,7742,50,9316
1465975608,4300,231,47.15780,8.21802,7742,50,9316
1465975639,4275,231,47.15580,8.21368,7742,50,9316
1465975686,4300,231,47.14670,8.21456,7742,50,9316
1465975695,4300,231,47.13940,8.21417,7742,50,9316
1465975723,4300,180,47.13650,8.21547,7742,62,9316
1465975735,4300,180,47.13260,8.21407,7742,62,9316
1465975763,4300,180,47.13500,8.21393,7742,62,9316
1465975806,4300,180,47.13650,8.21647,7742,62,9316
1465975828,4300,180,47.13290,8.21899,7742,62,9316
1465975843,4300,180,47.13170,8.21625,7742,62,9316
1465975867,4300,242,47.13160,8.21200,7742,49,9316
1465975899,4300,265,47.13170,8.20996,7742,45,9316
1465975994,4300,265,47.13230,8.20353,7742,45,9316
1465976030,4300,265,47.14410,8.16785,7742,45,9316
1465976054,4300,265,47.14860,8.15516,7742,45,9316
1465976082,4300,265,47.15690,8.14203,7742,45,9316
1465976170,4300,265,47.16150,8.13688,7742,45,9316
1465976225,4300,265,47.16840,8.12433,7742,45,9316
1465976317,4300,265,47.16390,8.12466,7742,45,9316
1465976412,4300,265,47.15580,8.14056,7742,45,9316
1465976457,4300,265,47.15560,8.13603,7742,45,9316
1465976613,4300,265,47.15360,8.14301,7742,45,9316
1465976754,4400,88,47.16420,8.15563,7742,47,9316
1465976793,4100,152,47.13910,8.16642,7742,95,9316
1465976846,4100,152,47.13630,8.17233,7742,95,9316
