PLZ,Name,Kanton,long,lat
1000,Lausanne,VD,6.65230780339362,46.552043140147
1200,Genève,GE,6.14139354018333,46.2057741319626
1400,Yverdon-les-Bains,VD,6.63710733850261,46.7742729743557
2000,Neuchâtel,NE,6.93809901043948,47.0094204187151
2800,Delémont,JU,7.33292435291978,47.3751007597609
2900,Porrentruy,JU,7.07101393301901,47.4212987475724
3000,Bern,BE,7.40645594615935,46.9476134401776
3600,Thun,BE,7.62217117801834,46.7465774842769
4000,Basel,BS,7.58053,47.559662
5000,Aarau,AG,8.04829959908319,47.3887506709017
6000,Luzern,LU,8.32521536164421,47.0471358210592
6032,Emmen,LU,8.28626047187241,47.0865605028653
6060,Sarnen,OW,8.17648286868192,46.8984476369729
6500,Bellinzona,TI,9.02266750657928,46.1999320324997
6600,Locarno,TI,8.83330080330894,46.1697315411128
6830,Chiasso,TI,9.0165435008242,45.8288280170158
6900,Lugano,TI,8.97601084097809,46.0078553845962
7000,Chur,GR,9.53013993916933,46.8521107310644
8000,Zürich,ZH,8.475219,47.360508
8200,Schaffhausen,SH,8.64122195074536,47.7156968420069
8280,Kreuzlingen,TG,9.17299737091641,47.639745769378
8400,Winterthur,ZH,8.73430829109435,47.4967528982669
8500,Frauenfeld,TG,8.89655573264911,47.5580354169739
9000,St.Gallen,SG,9.37594858130343,47.4221404863031
9435,Heerbrugg,SG,9.63728973,47.389906
