"","date","count"
"1","2015-04-16",1
"2","2015-04-17",1
"3","2015-04-18",0
"4","2015-04-19",0
"5","2015-04-20",1
"6","2015-04-21",1
"7","2015-04-22",1
"8","2015-04-23",1
"9","2015-04-24",0
"10","2015-04-25",0
"11","2015-04-26",0
"12","2015-04-27",1
"13","2015-04-28",0
"14","2015-04-29",1
"15","2015-04-30",1
"16","2015-05-01",0
"17","2015-05-02",0
"18","2015-05-03",0
"19","2015-05-04",1
"20","2015-05-05",0
"21","2015-05-06",0
"22","2015-05-07",0
"23","2015-05-08",0
"24","2015-05-09",0
"25","2015-05-10",0
"26","2015-05-11",0
"27","2015-05-12",0
"28","2015-05-13",1
"29","2015-05-14",0
"30","2015-05-15",0
"31","2015-05-16",0
"32","2015-05-17",0
"33","2015-05-18",0
"34","2015-05-19",0
"35","2015-05-20",0
"36","2015-05-21",0
"37","2015-05-22",1
"38","2015-05-23",0
"39","2015-05-24",0
"40","2015-05-25",0
"41","2015-05-26",0
"42","2015-05-27",1
"43","2015-05-28",0
"44","2015-05-29",0
"45","2015-05-30",0
"46","2015-05-31",0
"47","2015-06-01",0
"48","2015-06-02",0
"49","2015-06-03",0
"50","2015-06-04",1
"51","2015-06-05",1
"52","2015-06-06",0
"53","2015-06-07",0
"54","2015-06-08",2
"55","2015-06-09",1
"56","2015-06-10",1
"57","2015-06-11",1
"58","2015-06-12",2
"59","2015-06-13",1
"60","2015-06-14",0
"61","2015-06-15",0
"62","2015-06-16",1
"63","2015-06-17",1
"64","2015-06-18",1
"65","2015-06-19",1
"66","2015-06-20",0
"67","2015-06-21",0
"68","2015-06-22",0
"69","2015-06-23",0
"70","2015-06-24",0
"71","2015-06-25",2
"72","2015-06-26",0
"73","2015-06-27",0
"74","2015-06-28",0
"75","2015-06-29",0
"76","2015-06-30",0
"77","2015-07-01",0
"78","2015-07-02",0
"79","2015-07-03",0
"80","2015-07-04",0
"81","2015-07-05",0
"82","2015-07-06",0
"83","2015-07-07",1
"84","2015-07-08",2
"85","2015-07-09",2
"86","2015-07-10",0
"87","2015-07-11",0
"88","2015-07-12",0
"89","2015-07-13",0
"90","2015-07-14",2
"91","2015-07-15",2
"92","2015-07-16",2
"93","2015-07-17",0
"94","2015-07-18",0
"95","2015-07-19",0
"96","2015-07-20",0
"97","2015-07-21",0
"98","2015-07-22",0
"99","2015-07-23",0
"100","2015-07-24",0
"101","2015-07-25",0
"102","2015-07-26",0
"103","2015-07-27",0
"104","2015-07-28",0
"105","2015-07-29",0
"106","2015-07-30",0
"107","2015-07-31",0
"108","2015-08-01",0
"109","2015-08-02",0
"110","2015-08-03",0
"111","2015-08-04",0
"112","2015-08-05",0
"113","2015-08-06",0
"114","2015-08-07",0
"115","2015-08-08",0
"116","2015-08-09",0
"117","2015-08-10",0
"118","2015-08-11",0
"119","2015-08-12",0
"120","2015-08-13",0
"121","2015-08-14",0
"122","2015-08-15",0
"123","2015-08-16",0
"124","2015-08-17",0
"125","2015-08-18",0
"126","2015-08-19",0
"127","2015-08-20",1
"128","2015-08-21",1
"129","2015-08-22",0
"130","2015-08-23",0
"131","2015-08-24",0
"132","2015-08-25",0
"133","2015-08-26",2
"134","2015-08-27",1
"135","2015-08-28",1
"136","2015-08-29",0
"137","2015-08-30",0
"138","2015-08-31",1
"139","2015-09-01",1
"140","2015-09-02",0
"141","2015-09-03",2
"142","2015-09-04",1
"143","2015-09-05",0
"144","2015-09-06",0
"145","2015-09-07",1
"146","2015-09-08",2
"147","2015-09-09",1
"148","2015-09-10",0
"149","2015-09-11",0
"150","2015-09-12",0
"151","2015-09-13",0
"152","2015-09-14",1
"153","2015-09-15",3
"154","2015-09-16",2
"155","2015-09-17",3
"156","2015-09-18",1
"157","2015-09-19",0
"158","2015-09-20",0
"159","2015-09-21",1
"160","2015-09-22",1
"161","2015-09-23",0
"162","2015-09-24",2
"163","2015-09-25",0
