"","hour","borderFlight","n"
"1","00",TRUE,92
"2","01",TRUE,83
"3","02",TRUE,59
"4","03",TRUE,44
"5","04",TRUE,12
"6","05",TRUE,1
"7","06",TRUE,0
"8","07",TRUE,0
"9","08",TRUE,0
"10","09",TRUE,1
"11","10",TRUE,1
"12","11",TRUE,1
"13","12",TRUE,0
"14","13",TRUE,0
"15","14",TRUE,1
"16","15",TRUE,1
"17","16",TRUE,1
"18","17",TRUE,0
"19","18",TRUE,1
"20","19",TRUE,1
"21","20",TRUE,6
"22","21",TRUE,6
"23","22",TRUE,46
"24","23",TRUE,59
"25","00",FALSE,14
"26","01",FALSE,7
"27","02",FALSE,7
"28","03",FALSE,3
"29","04",FALSE,1
"30","05",FALSE,0
"31","06",FALSE,0
"32","07",FALSE,0
"33","08",FALSE,2
"34","09",FALSE,68
"35","10",FALSE,79
"36","11",FALSE,41
"37","12",FALSE,3
"38","13",FALSE,10
"39","14",FALSE,87
"40","15",FALSE,73
"41","16",FALSE,8
"42","17",FALSE,1
"43","18",FALSE,0
"44","19",FALSE,0
"45","20",FALSE,2
"46","21",FALSE,4
"47","22",FALSE,12
"48","23",FALSE,12
